Date,Portfolio,Return,"Rolling VaR (95%, 252D)","Rolling ES (95%, 252D)",VaR Breach,Loss Exceeds ES
2025-07-29,Equal Weighted Portfolio,-0.002390227462250794,0.02936938089339156,0.040720891744680965,False,False
2025-07-30,Equal Weighted Portfolio,0.0027629796612160364,0.02936938089339156,0.040720891744680965,False,False
2025-07-31,Equal Weighted Portfolio,0.0036836164167759478,0.02936938089339156,0.040720891744680965,False,False
2025-08-01,Equal Weighted Portfolio,-0.032744169114916045,0.02936938089339156,0.040720891744680965,True,False
2025-08-04,Equal Weighted Portfolio,0.015808282785503745,0.031419644623108235,0.040906139925353385,False,False
2025-08-05,Equal Weighted Portfolio,-0.0037572383607838767,0.031419644623108235,0.040906139925353385,False,False
2025-08-06,Equal Weighted Portfolio,0.020065659624724064,0.031419644623108235,0.040906139925353385,False,False
2025-08-07,Equal Weighted Portfolio,0.007404841010798569,0.031419644623108235,0.040906139925353385,False,False
2025-08-08,Equal Weighted Portfolio,0.015549561278565507,0.029225505211342127,0.03967876476664438,False,False
2025-08-11,Equal Weighted Portfolio,-0.004175118545925005,0.029225505211342127,0.03967876476664438,False,False
2025-08-12,Equal Weighted Portfolio,0.008909412248567738,0.029225505211342127,0.03967876476664438,False,False
2025-08-13,Equal Weighted Portfolio,-9.860408657251735e-05,0.029225505211342127,0.03967876476664438,False,False
2025-08-14,Equal Weighted Portfolio,0.00722816863625877,0.029225505211342127,0.03967876476664438,False,False
2025-08-15,Equal Weighted Portfolio,-0.0025189202595996556,0.029225505211342127,0.03967876476664438,False,False
2025-08-18,Equal Weighted Portfolio,-0.0002628241500652439,0.029225505211342127,0.03967876476664438,False,False
2025-08-19,Equal Weighted Portfolio,-0.014889297524786472,0.029225505211342127,0.03967876476664438,False,False
2025-08-20,Equal Weighted Portfolio,-0.011764909694722814,0.029225505211342127,0.03967876476664438,False,False
2025-08-21,Equal Weighted Portfolio,-0.0029512307632370005,0.029225505211342127,0.03967876476664438,False,False
2025-08-22,Equal Weighted Portfolio,0.019459508657829572,0.029225505211342127,0.03967876476664438,False,False
2025-08-25,Equal Weighted Portfolio,0.0019212217908565424,0.029225505211342127,0.03967876476664438,False,False
2025-08-26,Equal Weighted Portfolio,0.0027111166575940703,0.029225505211342127,0.03967876476664438,False,False
2025-08-27,Equal Weighted Portfolio,0.003323113166029468,0.029225505211342127,0.03967876476664438,False,False
2025-08-28,Equal Weighted Portfolio,0.007526580135372329,0.029225505211342127,0.03967876476664438,False,False
2025-08-29,Equal Weighted Portfolio,-0.009320971924621958,0.029225505211342127,0.03967876476664438,False,False
2025-09-02,Equal Weighted Portfolio,-0.011247586490037032,0.029225505211342127,0.03967876476664438,False,False
2025-09-03,Equal Weighted Portfolio,0.026127770912495563,0.029225505211342127,0.03967876476664438,False,False
2025-09-04,Equal Weighted Portfolio,0.013280271619440322,0.029225505211342127,0.03967876476664438,False,False
2025-09-05,Equal Weighted Portfolio,-0.011272845953584533,0.029225505211342127,0.03967876476664438,False,False
2025-09-08,Equal Weighted Portfolio,0.00366794865445943,0.028311609781146798,0.0388895028029936,False,False
2025-09-09,Equal Weighted Portfolio,0.006999775265942532,0.028311609781146798,0.0388895028029936,False,False
2025-09-10,Equal Weighted Portfolio,-0.004927481680579705,0.028311609781146798,0.0388895028029936,False,False
2025-09-11,Equal Weighted Portfolio,0.0036324837223334237,0.0276965161187303,0.03888875376626561,False,False
2025-09-12,Equal Weighted Portfolio,0.006728008244967156,0.0276965161187303,0.03888875376626561,False,False
2025-09-15,Equal Weighted Portfolio,0.01578587712284052,0.0276965161187303,0.03888875376626561,False,False
2025-09-16,Equal Weighted Portfolio,-0.002462627865014566,0.0276965161187303,0.03888875376626561,False,False
2025-09-17,Equal Weighted Portfolio,-0.007484237021815377,0.0276965161187303,0.03888875376626561,False,False
2025-09-18,Equal Weighted Portfolio,0.007091957778191871,0.0276965161187303,0.03888875376626561,False,False
2025-09-19,Equal Weighted Portfolio,0.013146256451076076,0.0276965161187303,0.03888875376626561,False,False
2025-09-22,Equal Weighted Portfolio,0.009956153976011418,0.0276965161187303,0.03888875376626561,False,False
2025-09-23,Equal Weighted Portfolio,-0.015467546117309206,0.0276965161187303,0.03888875376626561,False,False
2025-09-24,Equal Weighted Portfolio,-0.006969281041510378,0.0276965161187303,0.03888875376626561,False,False
2025-09-25,Equal Weighted Portfolio,0.00031737287539395113,0.0276965161187303,0.03888875376626561,False,False
2025-09-26,Equal Weighted Portfolio,0.0032015497961592754,0.0276965161187303,0.03888875376626561,False,False
2025-09-29,Equal Weighted Portfolio,0.004422607649795407,0.0276965161187303,0.03888875376626561,False,False
2025-09-30,Equal Weighted Portfolio,0.0036578001836007792,0.0276965161187303,0.03888875376626561,False,False
2025-10-01,Equal Weighted Portfolio,0.004630812322105982,0.0276965161187303,0.03888875376626561,False,False
2025-10-02,Equal Weighted Portfolio,0.0038884599818458155,0.0276965161187303,0.03888875376626561,False,False
2025-10-03,Equal Weighted Portfolio,-0.0026196641050439066,0.0276965161187303,0.03888875376626561,False,False
2025-10-06,Equal Weighted Portfolio,0.006462132939416132,0.0276965161187303,0.03888875376626561,False,False
2025-10-07,Equal Weighted Portfolio,-0.005125577598820486,0.0276965161187303,0.03888875376626561,False,False
2025-10-08,Equal Weighted Portfolio,0.007713818556900609,0.0276965161187303,0.03888875376626561,False,False
2025-10-09,Equal Weighted Portfolio,-0.0008001661697550678,0.0276965161187303,0.03888875376626561,False,False
2025-10-10,Equal Weighted Portfolio,-0.03493979765785149,0.0276965161187303,0.03888875376626561,True,False
2025-10-13,Equal Weighted Portfolio,0.018234166601143367,0.029220149598736977,0.03939895143869357,False,False
