Date,Portfolio,Return,"Rolling VaR (95%, 252D)","Rolling ES (95%, 252D)",VaR Breach,Loss Exceeds ES,Model
2025-02-27,Equal Weighted Portfolio,-0.0334793976059094,0.0234892679363461,0.0333336198103102,True,True,Historical VaR
2025-02-27,Equal Weighted Portfolio,-0.0334793976059094,0.0222431914055064,0.0302881099474854,True,True,EWMA-t
2025-02-27,Equal Weighted Portfolio,-0.0334793976059094,0.0201172906325427,0.0291410241617921,True,True,GARCH-t
2025-02-28,Equal Weighted Portfolio,0.0197924475661596,0.0252385890618007,0.0340907702149745,False,False,Historical VaR
2025-02-28,Equal Weighted Portfolio,0.0197924475661596,0.0252667467750393,0.0344052249691207,False,False,EWMA-t
2025-02-28,Equal Weighted Portfolio,0.0197924475661596,0.026808574713672,0.0385367758284255,False,False,GARCH-t
2025-03-03,Equal Weighted Portfolio,-0.0357944371115297,0.0252385890618007,0.0340907702149745,True,True,Historical VaR
2025-03-03,Equal Weighted Portfolio,-0.0357944371115297,0.0257037723153244,0.0350003139279262,True,True,EWMA-t
2025-03-03,Equal Weighted Portfolio,-0.0357944371115297,0.0267617220074539,0.038470986304741,True,False,GARCH-t
2025-03-04,Equal Weighted Portfolio,0.0051752945678048,0.027700847048784,0.0347521293480151,False,False,Historical VaR
2025-03-04,Equal Weighted Portfolio,0.0051752945678048,0.0286212806273698,0.0389730267871996,False,False,EWMA-t
2025-03-04,Equal Weighted Portfolio,0.0051752945678048,0.032368073844522,0.046312959291529,False,False,GARCH-t
2025-03-05,Equal Weighted Portfolio,0.0157172547257233,0.027700847048784,0.0347521293480151,False,False,Historical VaR
2025-03-05,Equal Weighted Portfolio,0.0157172547257233,0.0278238916257516,0.037887238092959,False,False,EWMA-t
2025-03-05,Equal Weighted Portfolio,0.0157172547257233,0.0302130595447468,0.0432880767287292,False,False,GARCH-t
2025-03-06,Equal Weighted Portfolio,-0.0221265452541137,0.027700847048784,0.0347521293480151,False,False,Historical VaR
2025-03-06,Equal Weighted Portfolio,-0.0221265452541137,0.0276752695985735,0.0376848624438121,False,False,EWMA-t
2025-03-06,Equal Weighted Portfolio,-0.0221265452541137,0.0291124271937213,0.0417431757937248,False,False,GARCH-t
2025-03-07,Equal Weighted Portfolio,0.0055322316121634,0.027700847048784,0.0347521293480151,False,False,Historical VaR
2025-03-07,Equal Weighted Portfolio,0.0055322316121634,0.0282077287893954,0.0384099015004904,False,False,EWMA-t
2025-03-07,Equal Weighted Portfolio,0.0055322316121634,0.0301656513344003,0.0432215322659729,False,False,GARCH-t
2025-03-10,Equal Weighted Portfolio,-0.0400625406008676,0.027700847048784,0.0347521293480151,True,True,Historical VaR
2025-03-10,Equal Weighted Portfolio,-0.0400625406008676,0.0274348016164236,0.0373574219902626,True,True,EWMA-t
2025-03-10,Equal Weighted Portfolio,-0.0400625406008676,0.0281957664526813,0.040456506330852,True,False,GARCH-t
2025-03-11,Equal Weighted Portfolio,-0.0024310635418753,0.0284346646999591,0.0356556368406147,False,False,Historical VaR
2025-03-11,Equal Weighted Portfolio,-0.0024310635418753,0.0309145769078443,0.0420957625771716,False,False,EWMA-t
2025-03-11,Equal Weighted Portfolio,-0.0024310635418753,0.0348493099596963,0.0497957426121609,False,False,GARCH-t
2025-03-12,Equal Weighted Portfolio,0.0168207820147239,0.0284346646999591,0.0356556368406147,False,False,Historical VaR
2025-03-12,Equal Weighted Portfolio,0.0168207820147239,0.0299880368034265,0.0408341114030322,False,False,EWMA-t
2025-03-12,Equal Weighted Portfolio,0.0168207820147239,0.0325568810872612,0.0465779782922622,False,False,GARCH-t
2025-03-13,Equal Weighted Portfolio,-0.0194346247131868,0.0284346646999591,0.0356556368406147,False,False,Historical VaR
2025-03-13,Equal Weighted Portfolio,-0.0194346247131868,0.0298174420197673,0.0406018158897788,False,False,EWMA-t
2025-03-13,Equal Weighted Portfolio,-0.0194346247131868,0.0313601357411414,0.0448981684970478,False,False,GARCH-t
2025-03-14,Equal Weighted Portfolio,0.0270383515969914,0.0284346646999591,0.0356556368406147,False,False,Historical VaR
2025-03-14,Equal Weighted Portfolio,0.0270383515969914,0.0299022468436347,0.040717292926439,False,False,EWMA-t
2025-03-14,Equal Weighted Portfolio,0.0270383515969914,0.0314871602886981,0.0450764663111234,False,False,GARCH-t
2025-03-17,Equal Weighted Portfolio,-0.0064535496201746,0.0284346646999591,0.0356556368406147,False,False,Historical VaR
2025-03-17,Equal Weighted Portfolio,-0.0064535496201746,0.0308796179935039,0.0420481597210039,False,False,EWMA-t
2025-03-17,Equal Weighted Portfolio,-0.0064535496201746,0.0322887091291105,0.0462015591287668,False,False,GARCH-t
2025-03-18,Equal Weighted Portfolio,-0.0184160741087452,0.0284346646999591,0.0356556368406147,False,False,Historical VaR
2025-03-18,Equal Weighted Portfolio,-0.0184160741087452,0.0300462704802109,0.0409134070388489,False,False,EWMA-t
2025-03-18,Equal Weighted Portfolio,-0.0184160741087452,0.030455900235332,0.0436289396968153,False,False,GARCH-t
2025-03-19,Equal Weighted Portfolio,0.0155212053180132,0.0284346646999591,0.0356556368406147,False,False,Historical VaR
2025-03-19,Equal Weighted Portfolio,0.0155212053180132,0.0300176457203239,0.0408744292744234,False,False,EWMA-t
2025-03-19,Equal Weighted Portfolio,0.0155212053180132,0.0305048135286125,0.0436975967669558,False,False,GARCH-t
2025-03-20,Equal Weighted Portfolio,-0.0019287007699394,0.0284346646999591,0.0356556368406147,False,False,Historical VaR
2025-03-20,Equal Weighted Portfolio,-0.0019287007699394,0.0297363443286448,0.0404913867818138,False,False,EWMA-t
2025-03-20,Equal Weighted Portfolio,-0.0019287007699394,0.0293473771513184,0.0420729629463855,False,False,GARCH-t
2025-03-21,Equal Weighted Portfolio,0.0075268227941884,0.0284346646999591,0.0356556368406147,False,False,Historical VaR
2025-03-21,Equal Weighted Portfolio,0.0075268227941884,0.0288404302557416,0.0392714384637468,False,False,EWMA-t
2025-03-21,Equal Weighted Portfolio,0.0075268227941884,0.0274726215232473,0.0394414650442814,False,False,GARCH-t
2025-03-24,Equal Weighted Portfolio,0.0211018157290617,0.0284346646999591,0.0356556368406147,False,False,Historical VaR
2025-03-24,Equal Weighted Portfolio,0.0211018157290617,0.0281180579203902,0.038287798467252,False,False,EWMA-t
2025-03-24,Equal Weighted Portfolio,0.0211018157290617,0.0258167701827009,0.0371172318143069,False,False,GARCH-t
2025-03-25,Equal Weighted Portfolio,0.0083854004096479,0.0284346646999591,0.0356556368406147,False,False,Historical VaR
2025-03-25,Equal Weighted Portfolio,0.0083854004096479,0.0284964567632451,0.0388030566218687,False,False,EWMA-t
2025-03-25,Equal Weighted Portfolio,0.0083854004096479,0.0261836158030162,0.037632154114473,False,False,GARCH-t
2025-03-26,Equal Weighted Portfolio,-0.0270876991473989,0.0284346646999591,0.0356556368406147,False,False,Historical VaR
2025-03-26,Equal Weighted Portfolio,-0.0270876991473989,0.027824429292882,0.0378879702235631,False,False,EWMA-t
2025-03-26,Equal Weighted Portfolio,-0.0270876991473989,0.0246954922820161,0.035543351784746,True,False,GARCH-t
2025-03-27,Equal Weighted Portfolio,-0.0051218986401439,0.0284346646999591,0.0356556368406147,False,False,Historical VaR
2025-03-27,Equal Weighted Portfolio,-0.0051218986401439,0.0290037081380684,0.0394937706984405,False,False,EWMA-t
2025-03-27,Equal Weighted Portfolio,-0.0051218986401439,0.0279434145722312,0.040102292995496,False,False,GARCH-t
2025-03-28,Equal Weighted Portfolio,-0.032864427195504,0.0284346646999591,0.0356556368406147,True,False,Historical VaR
2025-03-28,Equal Weighted Portfolio,-0.032864427195504,0.0281921807664883,0.0383887300679072,True,False,EWMA-t
2025-03-28,Equal Weighted Portfolio,-0.032864427195504,0.0263835850847947,0.0379128406944232,True,False,GARCH-t
2025-03-31,Equal Weighted Portfolio,-0.0026054360115302,0.0289283017573336,0.0359853199682058,False,False,Historical VaR
2025-03-31,Equal Weighted Portfolio,-0.0026054360115302,0.0302346864980972,0.0411699693711857,False,False,EWMA-t
2025-03-31,Equal Weighted Portfolio,-0.0026054360115302,0.0310561940785257,0.0444715412419754,False,False,GARCH-t
2025-04-01,Equal Weighted Portfolio,0.0132437873417355,0.0289283017573336,0.0359853199682058,False,False,Historical VaR
2025-04-01,Equal Weighted Portfolio,0.0132437873417355,0.0293315163759253,0.0399401406355998,False,False,EWMA-t
2025-04-01,Equal Weighted Portfolio,0.0132437873417355,0.0290771848170873,0.0416477837341985,False,False,GARCH-t
2025-04-02,Equal Weighted Portfolio,0.0050626103879293,0.0289283017573336,0.0359853199682058,False,False,Historical VaR
2025-04-02,Equal Weighted Portfolio,0.0050626103879293,0.0289109253970643,0.0393674302911882,False,False,EWMA-t
2025-04-02,Equal Weighted Portfolio,0.0050626103879293,0.0278047348223916,0.0398632751814936,False,False,GARCH-t
2025-04-03,Equal Weighted Portfolio,-0.06463196987006,0.0289283017573336,0.0359853199682058,True,True,Historical VaR
2025-04-03,Equal Weighted Portfolio,-0.06463196987006,0.0281007937599528,0.0382642902044336,True,True,EWMA-t
2025-04-03,Equal Weighted Portfolio,-0.06463196987006,0.026037405993963,0.0373847389538071,True,True,GARCH-t
2025-04-04,Equal Weighted Portfolio,-0.0511201117215005,0.0297968676689067,0.038698873007427,True,True,Historical VaR
2025-04-04,Equal Weighted Portfolio,-0.0511201117215005,0.0372594076259531,0.0507353919758867,True,True,EWMA-t
2025-04-04,Equal Weighted Portfolio,-0.0511201117215005,0.0434534536298664,0.0618093419560013,True,False,GARCH-t
